seed,task_id,epoch,phase,candidate_condition,baseline_condition,debt_delta,closure_delta,validation_failure_delta,parse_failure_delta,retry_delta
20260509,strong_s20260509_e08_t03,8,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e08_t04,8,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e08_t05,8,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e08_t06,8,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e08_t07,8,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e08_t08,8,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e09_t01,9,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e09_t02,9,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e09_t03,9,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e09_t04,9,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e09_t05,9,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e09_t06,9,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e09_t07,9,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e09_t08,9,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e10_t01,10,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e10_t02,10,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e10_t03,10,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e10_t04,10,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e10_t05,10,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e10_t06,10,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e10_t07,10,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e10_t08,10,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e11_t01,11,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e11_t02,11,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e11_t03,11,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e11_t04,11,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e11_t05,11,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e11_t06,11,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e11_t07,11,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e11_t08,11,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e12_t01,12,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e12_t02,12,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e12_t03,12,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e12_t04,12,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e12_t05,12,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e12_t06,12,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e12_t07,12,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e12_t08,12,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e13_t01,13,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e13_t02,13,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e13_t03,13,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e13_t04,13,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e13_t05,13,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e13_t06,13,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e13_t07,13,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e13_t08,13,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e14_t01,14,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e14_t02,14,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e14_t03,14,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e14_t04,14,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e14_t05,14,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e14_t06,14,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e14_t07,14,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e14_t08,14,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e15_t01,15,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e15_t02,15,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e15_t03,15,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e15_t04,15,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e15_t05,15,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e15_t06,15,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e15_t07,15,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e15_t08,15,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e16_t01,16,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e16_t02,16,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e16_t03,16,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e16_t04,16,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e16_t05,16,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e16_t06,16,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e16_t07,16,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e16_t08,16,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e17_t01,17,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e17_t02,17,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e17_t03,17,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e17_t04,17,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e17_t05,17,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e17_t06,17,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e17_t07,17,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e17_t08,17,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e18_t01,18,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e18_t02,18,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e18_t03,18,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e18_t04,18,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e18_t05,18,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e18_t06,18,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e18_t07,18,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e18_t08,18,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e19_t01,19,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e19_t02,19,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e19_t03,19,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e19_t04,19,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e19_t05,19,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e19_t06,19,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e19_t07,19,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e19_t08,19,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e20_t01,20,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e20_t02,20,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e20_t03,20,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e20_t04,20,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e20_t05,20,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e20_t06,20,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e20_t07,20,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e20_t08,20,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
